feature,signed_weight,importance
calendar_year,-1.2956707665148752,1.2956707665148752
service_day_of_year,-0.5927682352442448,0.5927682352442448
has_previous_fill,-0.38631082739037137,0.38631082739037137
DAYS_SUPLY_NUM,-0.20319441365433147,0.20319441365433147
previous_total_cost,0.1937884904001346,0.1937884904001346
prior_mean_total_cost,-0.19158241155013123,0.19158241155013123
prev_fill_was_late_7d,0.17952962661369254,0.17952962661369254
prev_fill_was_early,0.17144914338303197,0.17144914338303197
prior_mean_patient_pay,0.10857791777854797,0.10857791777854797
previous_patient_pay,-0.09860317809823524,0.09860317809823524
prior_mean_quantity,0.09762165882420204,0.09762165882420204
previous_quantity,-0.08644498287045778,0.08644498287045778
prior_mean_days_supply,-0.054547247677209774,0.054547247677209774
fill_sequence_number,0.05262175898853521,0.05262175898853521
prior_fill_count,0.0526217589885315,0.0526217589885315
QTY_DSPNSD_NUM,0.0493085705494739,0.0493085705494739
calendar_quarter,0.04168968462794846,0.04168968462794846
quantity_per_day,-0.03321340275813834,0.03321340275813834
is_90_day_supply,0.025920337244465734,0.025920337244465734
previous_days_supply,0.025813578473379027,0.025813578473379027
gap_from_previous_fill_days,-0.019778737197404826,0.019778737197404826
TOT_RX_CST_AMT,-0.011691882472992061,0.011691882472992061
days_supply_change_vs_previous,-0.010028442768295,0.010028442768295
calendar_month,0.008654288658805666,0.008654288658805666
days_since_previous_fill,-0.007724398628349317,0.007724398628349317
abs_gap_from_previous_fill_days,0.006537277390943866,0.006537277390943866
service_day_of_week,0.006536870658555248,0.006536870658555248
is_30_day_supply,-0.0064312454343108585,0.0064312454343108585
total_cost_change_vs_previous,-0.004999154004505509,0.004999154004505509
quantity_change_vs_previous,0.00441243138689765,0.00441243138689765
patient_pay_change_vs_previous,-0.002285653619633398,0.002285653619633398
patient_cost_share,0.0007173309229648477,0.0007173309229648477
PTNT_PAY_AMT,-7.581443142478387e-05,7.581443142478387e-05
