model,pr_auc,roc_auc,brier,precision_at_0_5,recall_at_0_5,mean_predicted_risk,observed_positive_rate
Logistic Regression,0.08653709526613543,0.6867221244600864,0.04298739604349627,0.0,0.0,0.07169325824874068,0.044997606510292006
XGBoost,0.07318127745479924,0.610249026822375,0.0522143729031086,0.0,0.0,0.1301640272140503,0.044997606510292006
Random Forest,0.06690099379097768,0.6113955100517251,0.09023592576366804,0.0,0.0,0.25999413499629226,0.044997606510292006
